id,name,description,maintain_stock,quantity,condition,warranty,created_at,updated_at,sort_order,disabled,reorder_at,taxable,upc_code,pdf,discount_percent,warranty_template_id,qb_item_id,vendor_id,desired_stock_level,notes,tax_rate_id,physical_location,xero_item_id,serialized,long_description,woo_description,woo_long_description,canonical_product_id,one_time_use,upsell_products,upsell_categories,is_shipping_product,nonbillable_time,delete,price_retail,price_cost,price_wholesale,category_path,vendor,JB Hi-Fi-SKU,Ubiquiti Warehouse-SKU,Asus-SKU,Leader Systems-SKU,Ebay-SKU,PC Case Gear-SKU,Edsys-SKU,MSY Balcatta-SKU,MSY Cannington-SKU,L&H Group-SKU,Ingram Micro-SKU,ACA Pacific-SKU,Bunnings-SKU,MM Electrical Merchandising-SKU,FairTel (Supplier)-SKU,PSA Parts-SKU,Sektor-SKU,Office Works-SKU,Synnex-SKU,serial_numbers
9398000,14TB External HDD,"Seagate 12TB USB 3.0 3.5"" External Hard Drive",true,0,New,,2019-05-02 11:05:05 +0800,2024-11-01 15:29:07 +0800,,false,,true,527666,"",,21614,3415403,,,"",37894,"",,true,,,,,false,[],[],,,"",175.0,357.5,0.0,Hardware;Computer;Internal Components;HDD,Leader Systems,STKP14000400,,,HXWD-ELM35-12TB,,,,,,,,,,,,,,,,""
9408123,Microsoft 365 BS - NCE,"Microsoft 365 Business Standard - Subscription per user (1x 50GB Mailbox, 5x Office Programs, 1TB OneDrive, SharePoint, Backup 7 years)",false,0,New,,2019-05-08 09:53:15 +0800,2023-08-31 12:48:06 +0800,,false,,true,"","",,47833,3706057,,,"",37894,"",,false,,,,,false,[],[],,,"",318.0,191.85,0.0,Software;Subscription 365,Synnex,,,,,,,,,,,,,,,,,,,,
9408124,Microsoft 365 AB,Microsoft 365 Apps for Business  - Subscription per user,false,0,New,,2019-05-08 09:55:39 +0800,2023-08-31 12:48:57 +0800,,false,,true,"","",,47833,3706057,,,"",37894,"",,false,,,,,false,[],[],,,"",234.0,133.85,167.17,Software;Subscription 365,Synnex,,,,,,,,,,,,,,,,,,,,
9408125,Windows 365,"Windows 365 - 4GB. 2CPU, 64GB ",false,0,"",,2019-05-08 09:59:34 +0800,2024-01-02 09:20:36 +0800,,false,,true,"","",,18086,3706057,,,"",37894,"",,false,,,,,false,[],[],,,"",65.0,30.69,39.35,Software;Other Software,Synnex,,,,,,,,,,,,,,,,,,,,
9408127,Microsoft 365 AB Legacy,Microsoft 365 Apps for Business - Subscription per user,false,0,New,,2019-05-08 10:03:53 +0800,2023-08-31 12:50:23 +0800,,false,,true,Microsoft 365 AB,"",,47832,3706057,,,"",37894,"",,false,,,,,false,[],[],,,"",23.4,11.33,14.67,Software;Subscription 365,Synnex,,,,,,,,,,,,,,,,,,,,
9408128,Microsoft 365 BB Legacy,Microsoft 365 Business Basic - Subscription per user (50GB Exchange + 1TB OneDrive),false,0,New,,2019-05-08 10:04:43 +0800,2023-08-31 12:50:48 +0800,,false,,true,Microsoft 365 BB,"",,47832,3706057,,,"",37894,"",,false,,,,,false,[],[],,,"",17.11,6.5,8.25,Software;Subscription 365,Synnex,,,,,,,,,,,,,,,,,,,,
9455834,Draytek Vigor2862,"Draytek Vigor2862 Multi WAN VDSL2/ADSL2+ Gigabit Ethernet WAN port, Dual USB ports for failover and load-balancing",true,0,New,,2019-05-21 10:33:24 +0800,2022-11-15 15:32:26 +0800,,false,0,true,MOD-DV2862,"",,33914,3415653,,1,"",37894,"",,true,,,,,false,[],[],,,"",636.0,423.5,0.0,"Hardware;Networking;Firewall, Router, Modem",Leader Systems,,,,,,,,,,,,,,,,,,,,""
9455839,DVI-D Cable 2m,Astrotek DVI-D Cable 2m - 24+1 pins Male to Male,true,0,New,,2019-05-21 10:44:20 +0800,2025-11-28 17:47:12 +0800,,false,1,true,9320300512012,"",,18086,3415354,,5,,37894,D45,,false,,,,,false,[],[],,,"",19.95,9.35,0.0,Hardware;Cabling,Leader Systems,,,,CB8W-DVI-DD2,,,,,,,,,,,,,,,,
9455948,WD Purple 4TB Surveillance 3.5,WD Purple 4TB Surveillance 3.5 IntelliPower SATA3 6Gb/s 64MB ,true,0,New,,2019-05-21 13:25:04 +0800,2022-11-15 14:51:35 +0800,,false,,true,HAWD-PP35-4TB,"",,21614,3415403,,,"",37894,"",,true,,,,,false,[],[],,,"",209.0,157.3,150.0,Hardware;Computer;Internal Components;HDD,Leader Systems,,,,HAWD-PP35-4TB,,,,,,,,,,,,,,,,""
9455959,1m Micro USB Cable,1m Micro USB Data Sync Charger Cable,true,0,New,,2019-05-21 13:32:19 +0800,2023-08-10 12:25:00 +0800,,false,2,true,9320422519357,"",,18086,3696949,,10,"",37894,C24,,false,,,,,false,[],[],,,"",9.95,2.56,0.0,Hardware;Computer;Peripherals and Cables;Cables,Leader Systems,,,,CBAT-USBMICROBW-1M,,,,,,,,,,,,,,,,
